"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0043589","skin morphogenesis",12,2,0.16,352,0.01065,0.01065,"COL1A2,ERRFI1"
"GO:0003183","mitral valve morphogenesis",12,2,0.16,353,0.01065,0.01065,"AXIN2,TWIST1"
"GO:0042416","dopamine biosynthetic process",12,2,0.16,354,0.01065,0.01065,"NR4A2,SNCA"
"GO:0009887","animal organ morphogenesis",1025,41,13.63,9,0.01095,2.1e-10,"ASXL3,AXIN2,CHRNA9,CLRN1,COL11A1,COL1A2,COL3A1,COL5A2,CRB1,DACT1,DCN,DIO3,DLX2,DMP1,ERRFI1,FGL1,FOXN3,FZD3,GZF1,HCN1,HHIP,HOXB13,HOXC8,KRAS,LHX9,MEF2C,MEIS2,PAX6,PAX9,RBM20,ROBO1,ROBO2,RPGRIP1L,SIX1,SIX3,SIX4,SLITRK6,SOX11,TBX2,TWIST1,YAP1"
"GO:0009892","negative regulation of metabolic process",2873,61,38.22,79,0.01133,9.2e-05,"ABCB7,ANGPT1,ANKRD34A,ASXL3,ATCAY,AXIN2,BAG4,CARD16,CREM,DACT1,DAPL1,DLX2,ERI1,ERRFI1,FEZ1,FMN2,FOXN3,FTO,GZF1,HERC1,HOXB13,HOXC8,HSF4,LHX9,MAEL,MAGEB17,MALRD1,MAP1A,MAP2K6,MEF2C,MEIS2,MTPAP,NAV3,NKX6-3,NR2F1,NR4A2,NR4A3,OXR1,PAX6,PAX9,PTPRC,RBM20,ROBO1,RPS6KA5,SERPINF1,SIX1,SIX3,SIX4,SNCA,SOX11,SPRY3,TBX2,TCEAL7,TNKS,TNKS2,TRDMT1,TWIST1,VGLL4,YAP1,ZEB2,ZNF25"
"GO:0071711","basement membrane organization",36,3,0.48,361,0.01201,0.01201,"COL3A1,HMCN1,LAMA2"
"GO:0048667","cell morphogenesis involved in neuron differentiation",573,22,7.62,40,0.01238,8.7e-06,"CLRN1,CNTN1,CNTNAP1,DOCK10,EPHA3,EPHA7,ETV1,FEZ1,FZD3,ITGA4,LAMA2,LHX9,MAP1A,MEF2C,NEFL,NR4A2,PAX6,ROBO1,ROBO2,RPS6KA5,SLITRK6,ZDHHC15"
"GO:0021978","telencephalon regionalization",13,2,0.17,368,0.01248,0.01248,"PAX6,SIX3"
"GO:0051451","myoblast migration",13,2,0.17,369,0.01248,0.01248,"SIX1,SIX4"
"GO:0042762","regulation of sulfur metabolic process",13,2,0.17,370,0.01248,0.01248,"ABCB7,SNCA"
"GO:0061029","eyelid development in camera-type eye",13,2,0.17,371,0.01248,0.01248,"SOX11,TWIST1"
"GO:0051610","serotonin uptake",13,2,0.17,372,0.01248,0.01248,"GPM6B,SNCA"
"GO:0003174","mitral valve development",13,2,0.17,373,0.01248,0.01248,"AXIN2,TWIST1"
"GO:0070486","leukocyte aggregation",13,2,0.17,374,0.01248,0.01248,"JAM2,NR4A3"
