"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0007586","digestion",133,4,1.18,202,0.03075,0.03075,"AKR1C2,AQP1,SLC5A1,VIL1"
"GO:0120193","tight junction organization",78,3,0.69,206,0.03209,0.03209,"CLDN15,CLDN2,GPBAR1"
"GO:0048799","animal organ maturation",32,2,0.28,208,0.03257,0.03257,"PAX2,THBS3"
"GO:0050654","chondroitin sulfate proteoglycan metabolic process",32,2,0.28,209,0.03257,0.03257,"CHSY3,DSEL"
"GO:0019934","cGMP-mediated signaling",32,2,0.28,210,0.03257,0.03257,"ADNP,AQP1"
"GO:0032990","cell part morphogenesis",678,13,6.01,91,0.03287,0.00741,"ADNP,ATP9A,BTBD3,ENPP2,FLRT1,GDF7,ITGA1,KIRREL3,MFF,PARD6B,PAX2,SLITRK2,VIL1"
"GO:0008015","blood circulation",497,9,4.41,211,0.03326,0.03326,"APELA,ATP6AP2,CYB5R3,ITGA1,KCNMB2,KNG1,NPY1R,PDE5A,SCN4B"
"GO:0090066","regulation of anatomical structure size",504,14,4.47,2,0.03379,0.00016,"ADNP,AQP1,BAIAP2L2,DSTN,HCLS1,ITGA1,KCNMB2,KNG1,NCK1,PAX2,PLEKHH2,SCIN,SCTR,VIL1"
"GO:0051402","neuron apoptotic process",271,6,2.4,212,0.03396,0.03396,"ADNP,EN2,GRM4,ITGA1,OXR1,PRKCI"
"GO:1902235","regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",33,2,0.29,214,0.03448,0.03448,"NCK1,PTPN1"
"GO:0034330","cell junction organization",750,12,6.65,219,0.03504,0.03504,"ADNP,CDH17,CLDN15,CLDN2,ELFN1,GPBAR1,KIRREL3,MYOC,PARD6B,PRKCI,SLITRK2,UNC13C"
"GO:0070293","renal absorption",34,2,0.3,223,0.03642,0.03642,"AQP1,SLC5A1"
"GO:0042462","eye photoreceptor cell development",34,2,0.3,224,0.03642,0.03642,"CRB1,PRKCI"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",206,5,1.83,226,0.0367,0.0367,"APELA,FSHR,GPBAR1,PDGFA,PDGFRB"
"GO:0045834","positive regulation of lipid metabolic process",141,4,1.25,227,0.03692,0.03692,"ANGPTL3,FABP3,FLT1,PDGFRB"
"GO:0045765","regulation of angiogenesis",279,6,2.47,230,0.03828,0.03828,"ANGPTL3,APELA,AQP1,FLT1,GTF2I,PIK3CB"
"GO:0006884","cell volume homeostasis",35,2,0.31,231,0.03841,0.03841,"AQP1,SCTR"
"GO:0000902","cell morphogenesis",959,16,8.5,116,0.03884,0.01119,"ADNP,ATP9A,BTBD3,CDH17,CDHR1,CRB1,ENPP2,FLRT1,FRY,GDF7,ITGA1,KIRREL3,PARD6B,PAX2,SLITRK2,VIL1"
"GO:0032989","cellular component morphogenesis",786,14,6.97,107,0.03993,0.01024,"ADNP,ATP9A,BTBD3,ENPP2,FLRT1,GDF7,ITGA1,KIRREL3,MFF,PARD6B,PAX2,PDGFRB,SLITRK2,VIL1"
"GO:1901342","regulation of vasculature development",282,6,2.5,233,0.03999,0.03999,"ANGPTL3,APELA,AQP1,FLT1,GTF2I,PIK3CB"
"GO:1905898","positive regulation of response to endoplasmic reticulum stress",36,2,0.32,235,0.04044,0.04044,"NCK1,PTPN1"
"GO:0046627","negative regulation of insulin receptor signaling pathway",36,2,0.32,236,0.04044,0.04044,"NCK1,PTPN1"
"GO:0021799","cerebral cortex radially oriented cell migration",36,2,0.32,237,0.04044,0.04044,"POU3F3,SYNE2"
"GO:1902745","positive regulation of lamellipodium organization",36,2,0.32,238,0.04044,0.04044,"ENPP2,VIL1"
"GO:0042632","cholesterol homeostasis",86,3,0.76,239,0.04104,0.04104,"ANGPTL3,FABP3,MYLIP"
"GO:0010232","vascular transport",87,3,0.77,240,0.04224,0.04224,"ABCC5,SLC4A4,SLC5A1"
"GO:0150104","transport across blood-brain barrier",87,3,0.77,241,0.04224,0.04224,"ABCC5,SLC4A4,SLC5A1"
"GO:0055092","sterol homeostasis",87,3,0.77,242,0.04224,0.04224,"ANGPTL3,FABP3,MYLIP"
"GO:0060251","regulation of glial cell proliferation",37,2,0.33,245,0.0425,0.0425,"CERS2,PRKCI"
"GO:0048854","brain morphogenesis",37,2,0.33,246,0.0425,0.0425,"GDF7,PAX2"
"GO:0010863","positive regulation of phospholipase C activity",37,2,0.33,247,0.0425,0.0425,"FLT1,PDGFRB"
"GO:1900077","negative regulation of cellular response to insulin stimulus",37,2,0.33,248,0.0425,0.0425,"NCK1,PTPN1"
"GO:0072530","purine-containing compound transmembrane transport",37,2,0.33,249,0.0425,0.0425,"SLC17A9,SLC33A1"
"GO:0070372","regulation of ERK1 and ERK2 cascade",292,6,2.59,256,0.04602,0.04602,"APELA,FSHR,GPBAR1,PDGFA,PDGFRB,PTPN1"
"GO:0010976","positive regulation of neuron projection development",152,4,1.35,257,0.04649,0.04649,"ADNP,NCK1,PRKCI,TRIM67"
"GO:0051125","regulation of actin nucleation",39,2,0.35,259,0.04675,0.04675,"SCIN,VIL1"
"GO:1900274","regulation of phospholipase C activity",39,2,0.35,260,0.04675,0.04675,"FLT1,PDGFRB"
"GO:1902742","apoptotic process involved in development",39,2,0.35,261,0.04675,0.04675,"PAX2,XKR9"
"GO:0051056","regulation of small GTPase mediated signal transduction",295,6,2.62,265,0.04793,0.04793,"ADCYAP1R1,ARFGAP1,LPAR6,MYOC,PIK3CB,TRIM67"
"GO:0030029","actin filament-based process",795,17,7.05,12,0.0489,7e-04,"AQP1,BAIAP2L2,CELSR1,DSTN,HCLS1,MYOC,NCK1,PDGFA,PDGFRB,PLEKHH2,PRKCI,PTPN1,SCIN,SCN4B,SYNE2,TBCK,VIL1"
"GO:0051693","actin filament capping",40,2,0.35,266,0.04893,0.04893,"SCIN,VIL1"
"GO:0048489","synaptic vesicle transport",40,2,0.35,267,0.04893,0.04893,"LIN7A,SNAP91"
"GO:0007596","blood coagulation",224,5,1.99,268,0.04949,0.04949,"KNG1,PDGFA,PIK3CB,ST3GAL4,TFPI2"
