cell_line,field,value,source_file,source_sheet,source_cell,source_sha256
OV90,provider_library_name,OV90_P63,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,B4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,J4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,library_source,gDNA,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,O4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,P4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,Q4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,T4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,provider_run,4706,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,X4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AC4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,run_start_date,2018-05-25,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AD4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,read_set_id,HI.4706.008.Index_22.OV90_P63,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AE4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
OV90,provider_number_of_reads,"59,224,256",mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AH4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
