gene,n_paired,rna_min,rna_max,rna_range,rna_iqr,rna_sd,prot_min,prot_max,prot_range,prot_iqr,prot_sd,range_ratio_floor_sensitive,range_ratio,iqr_ratio,sd_ratio,complete30,rna_n_zero_lines,rna_has_zero,concord_spearman,is_adc_target
AARS2,30,2.8986050149196476,4.58221971231232,1.683614697392672,0.6380737087945771,0.4749592379512059,13.80198705602743,14.3778797788349,0.5758927228074704,0.17635715936845386,0.15103365953979705,0.3420573149541436,0.3420573149541436,0.2763899482735633,0.3179928875397792,TRUE,0,FALSE,0.4999,FALSE
AARSD1,30,4.374581012570292,6.297902187036436,1.9233211744661434,0.7021085870832859,0.49103363126430893,11.43585046514769,12.19449378506814,0.7586433199204503,0.17649022325530694,0.16896404360319592,0.3944444276869291,0.3944444276869291,0.25137169164742207,0.3440987192020816,TRUE,0,FALSE,0.4496,FALSE
AASDHPPT,30,2.0407209799067965,5.773704329100222,3.7329833491934257,1.334772372814777,1.0402634889643154,11.9467687655063,13.02813468953341,1.081365924027109,0.5084086980640574,0.33619639253138756,0.28967874294450213,0.28967874294450213,0.38089543087554456,0.32318388187025976,TRUE,0,FALSE,0.7882,FALSE
AASS,30,0,5.817948753159408,5.817948753159408,1.6221577879069549,1.5287418013593284,11.41889782033985,13.81372052578755,2.3948227054477,0.4953667465645051,0.4649688976646141,0.41162664145970745,0.41162664145970745,0.3053751923872148,0.3041513597987394,TRUE,1,TRUE,0.6254,FALSE
AATF,30,5.047941084921884,7.039242897757209,1.9913018128353244,0.7749739267808877,0.5934062210977654,12.57704955262361,13.23718314877849,0.6601335961548802,0.25384096367001163,0.1831301214341214,0.33150855982747585,0.33150855982747585,0.3275477469602424,0.3086083612257078,TRUE,0,FALSE,0.2992,FALSE
ABAT,30,0.18850663818146926,3.7643280745622487,3.5758214363807794,1.5686668802985255,1.0238837918350534,8.522851509482617,10.42184847418513,1.898996964702512,0.5505973886100453,0.4649478749794263,0.531065937851907,0.531065937851907,0.35099701251119914,0.4541021927362719,TRUE,0,FALSE,0.7717,FALSE
ABCA1,20,0.004172639636990038,4.292201227398495,4.288028587761505,2.3155632188756874,1.4439707781298274,8.605799608202187,10.2908874064388,1.685087798236614,0.8105706542592532,0.5380324672514245,0.3929749449539669,0.3929749449539669,0.35005334669844285,0.37260620187083177,FALSE,0,FALSE,0.2496,FALSE
ABCA3,17,0.40905632787096574,6.134309811474329,5.725253483603363,3.244571222717102,1.7773179282943223,8.087161133692419,8.981894733950668,0.8947336002582489,0.19090336088177473,0.22489000971900913,0.1562784255440723,0.1562784255440723,0.05883777786881389,0.1265333602608928,FALSE,0,FALSE,-0.0588,FALSE
ABCB1,30,0,5.62612929488945,5.62612929488945,0.4049470037133712,1.6197213382697622,12.81076419949778,15.28996810834017,2.47920390884239,0.2730043441540442,0.48816965527788064,0.4406588933344278,0.4406588933344278,0.6741730193101554,0.3013911366996986,TRUE,5,TRUE,0.0867,FALSE
ABCB10,30,0.9864757412961038,5.0164655205599855,4.0299897792638815,1.7233245043666856,1.1243236128775866,11.63687228724489,12.36568725830735,0.7288149710624605,0.25260095854721243,0.18255410276268128,0.18084784601999312,0.18084784601999312,0.14657770948370644,0.16236793452683385,TRUE,0,FALSE,0.6681,FALSE
ABCB4,17,0,1.1637631592018975,1.1637631592018975,0.18103246516076865,0.35795565680219027,9.145333003235008,10.435091236503,1.2897582332679924,0.2930388745174195,0.30309716015884786,1.1082652196624798,1.1082652196624798,1.6187089661358909,0.8467449931272975,FALSE,4,TRUE,0.2269,FALSE
ABCB6,30,0.7182959318963591,6.685252798931301,5.966956867034941,1.4380424353055457,1.2789367156664522,10.12109492488295,11.9235291977183,1.8024342728353506,0.4876492456723174,0.4126826828064751,0.302069264618466,0.302069264618466,0.3391062973525569,0.3226763902789566,TRUE,0,FALSE,0.7406,FALSE
ABCB7,30,2.2935614770863753,5.503659218327006,3.210097741240631,0.9087758457181367,0.7410641939557955,12.06138746680564,13.13314024973932,1.0717527829336806,0.3340565426814237,0.25373874445072553,0.333869205652122,0.333869205652122,0.3675895923680103,0.34239779295808354,TRUE,0,FALSE,-0.1177,FALSE
ABCB8,30,3.747163189785302,6.296193825303341,2.5490306355180388,0.7475070063371998,0.6013275284659786,11.03122581117235,12.03652515673135,1.005299345559001,0.3268956216920955,0.25068319896084984,0.3943849601300277,0.3943849601300277,0.4373144584876749,0.4168829582779242,TRUE,0,FALSE,0.3419,FALSE
ABCC1,30,2.8154386184088165,6.293798344826219,3.4783597264174024,0.5539137078277347,0.7021528372355861,12.97344855114807,13.82410213152133,0.85065358037326,0.21878064241705175,0.20755590593015932,0.24455595374817818,0.24455595374817818,0.394972428602709,0.2955993267040239,TRUE,0,FALSE,0.3357,FALSE
ABCC2,14,0.07597724815164346,7.190343805996779,7.114366557845136,1.6117824791492545,2.4152127493831705,8.365080136026071,11.35193867082087,2.9868585347947985,0.579963221352978,0.8467903834115098,0.41983478226900434,0.41983478226900434,0.3598272278397637,0.35060695320848007,FALSE,0,FALSE,0.5824,FALSE
ABCC3,23,0.17977918191488854,7.669497662798151,7.489718480883263,2.2572380124422735,2.201119851930644,8.893763291914537,11.44188968611031,2.548126394195773,0.9147057193338703,0.6454700100147324,0.3402165783266225,0.3402165783266225,0.4052322857810561,0.2932461898649355,FALSE,0,FALSE,0.5702,FALSE
ABCC4,30,0.574868812922114,5.103413303782177,4.528544490860063,2.361277103934615,1.3079435283753456,11.56241718196602,13.05236175912108,1.4899445771550592,0.3743204168724663,0.3433169885660238,0.3290118006264941,0.3290118006264941,0.15852456124219103,0.26248609448182597,TRUE,0,FALSE,0.5266,FALSE
ABCC5,30,2.417110046300255,6.555535470822023,4.138425424521769,0.9734732239266122,0.8446546907688806,10.18722550812782,11.1877732110138,1.0005477028859797,0.3263972461355831,0.239925790930165,0.24177014208286762,0.24177014208286762,0.3352914472768173,0.2840519250674651,TRUE,0,FALSE,0.0474,FALSE
