protein,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV3331,OV4453,OV4485,OV866-2,OV90,TOV1369,TOV3041G,TOV3133G,TOV3291G,TOV21G,TOV3392D,VOA10816,VOA12539,VOA14993,VOA295,VOA4841,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
FBLL1,9.398312199885098,NA,9.640838846525044,NA,NA,9.441441944230489,9.48750571565861,8.941709367001552,9.516365791502185,9.845243261468749,NA,9.566740347595934,NA,9.544143150861728,9.26517801503797,NA,9.786260001825365,9.837568039016924,9.6080952636022,NA,9.768545370464684,NA,10.03257730973511,10.14019597035049,NA,9.694929444837399,NA,10.16634051617355,NA,NA,9.98635131314447
SMCHD1,15.73227286959646,15.23701174339646,15.73496975679143,15.50009292621775,15.16233585360533,15.37308115186137,15.43089685590992,15.71962643978841,15.23613408109514,15.71713620665616,15.77829077036974,15.36925262926962,15.267608927662,15.39355891893837,15.25303810672367,15.23917068175351,15.4884633265749,15.39051476581717,15.53666533539735,15.38394560221478,15.52138587111767,15.35677678091558,15.48370325054703,15.60654084031738,15.48791716618428,15.86169362463844,16.11576944374416,15.4137032963691,15.41633280973672,15.71953042199541,15.79974346340704
CASTOR2,NA,NA,8.106561276176578,NA,NA,NA,7.60371819077258,7.386155441638139,8.130058927000643,NA,NA,8.028597337001651,NA,7.472498009201951,7.825257036253022,NA,NA,NA,8.299659042192268,NA,7.852192490293088,NA,7.745450732317416,NA,NA,8.047861543386482,NA,8.17524767491672,NA,NA,NA
UNC119B,10.29945485130895,10.41263759153406,10.97609239673457,10.88271089349436,10.18780016331352,11.12371903054292,10.667990412281,10.38312719720686,10.36767077426964,10.3218550204486,10.65985429254997,10.52143845015151,10.17799347336461,10.52649593073411,10.60126505512504,10.80623326838414,10.55836285546207,10.79884633545512,10.94460224292927,10.65522606580519,10.64419898781294,10.84996156142303,10.72025593947433,10.74304239297867,10.12308943462918,10.71674294316833,10.80284460656491,10.87631216292983,10.50048395003202,10.90495104602123,10.85266118262113
METTL15,11.0382294362416,11.296273729691,10.89463665776258,11.44861462322927,11.43821897606626,10.93945078877152,10.92740962429071,11.0921673569151,11.02498611296507,11.09087853801018,11.16907125856058,11.21011334597255,11.34406953418895,11.25162352683627,11.07381069618328,11.51038075812065,11.19271152346712,10.76805571803557,10.71123945807357,11.18039056125555,10.92235866360611,11.07128139876186,11.09491677266577,11.22784960485884,11.51015905031252,11.10907088473234,11.40299038074458,11.39831423090373,11.36028301055562,11.33019190570251,11.10500612887417
LIPT2,NA,8.87774520471747,9.26253461471922,9.046162981926567,9.696066904364448,NA,8.906479873453671,8.757676155902034,8.938150809340604,NA,8.698929861157907,8.86177499528349,9.50836349389258,8.977568191188599,9.037587451544358,8.43916962580205,NA,NA,9.176199219464456,9.032215349798461,9.01271309354611,8.908311394804912,9.02775388545595,NA,9.318245546199005,9.498847457826308,9.627116027026874,8.727380075006419,8.622226587840126,9.007837826792027,NA
CCDC85C,9.853169432257781,9.4314530004863,9.311448743728064,9.522031365085352,9.604627994497791,9.347046585933311,9.363088619733382,9.45222016906074,9.469266801182082,8.51130562628204,9.764102953564866,9.776507994263715,9.84279813556398,9.700300215137341,9.833376051853644,9.548363344653607,9.0494053110866,8.833166221468996,9.177875380453328,9.559914736926723,9.349304216651861,9.58061681398969,9.438198726991335,9.649154433729086,9.443322427914243,10.04164381254233,9.689134010582876,10.09141581539098,9.650445070038078,9.468250147760934,9.415971247344691
SAC3D1,7.628509116764885,7.960380820572715,7.383453254378191,7.780415873677507,8.217736962430651,8.162046758794789,7.958371237372706,7.90026526755517,7.762258536126517,7.572843844360147,9.698246093797694,8.219404952187883,8.41469842579882,7.89720811023023,8.437520609190704,8.225422438396533,7.751463589952392,8.09655737618239,7.442831055027312,7.936674475776567,7.477932539902265,8.095340514935131,8.048273644352326,8.441901860288239,7.932099842445333,7.809030567009006,8.168427961175004,7.970446696676301,7.621803817941989,8.322792839728153,7.883725602917106
RTL1,12.07913232610596,NA,NA,NA,NA,12.11347662034399,NA,NA,NA,12.39473483853605,NA,NA,NA,NA,NA,NA,12.10234110748342,11.8296261076917,NA,NA,NA,NA,NA,13.99691982556003,NA,NA,NA,NA,NA,NA,12.28659721564093
RTL8C,8.491703376966322,8.24938058171428,8.370881326724085,8.430758719296504,7.717073418437002,8.208197520670836,8.145956016188638,7.992515263279286,8.15670852718964,8.137275961755869,8.36117471589323,8.248689131087277,8.148016673762974,8.456620771745765,8.400286891348037,8.446347065989228,7.896464609227869,8.31873305459583,8.143842054850367,8.135417806325725,7.829490930186855,7.899596127104986,8.265875461237654,8.632245201436046,8.441407750656175,8.489768016390913,8.692108835220338,8.72846911107089,8.25422268027998,8.346039374165324,8.308001273369252
