cell_line,signature,cosine,group,cosmic_source,cosmic_genome,n_snv_used
OV3133-R,SBS8,0.5637464063420987,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS29,0.5619500581826142,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS6,0.5410762436884086,MMR-d / MSI,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS39,0.5293971775922313,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS18,0.5215739078844089,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS31,0.5144462214106135,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS42,0.4986530500120967,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS30,0.4971845618686998,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS44,0.485706525304327,MMR-d / MSI,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS7b,0.48138212136500197,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS15,0.44347306836307454,MMR-d / MSI,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS93,0.4387007961200916,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS32,0.42839165776015664,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS1,0.42589435721712504,clock-like (age),COSMIC_v3.2,GRCh38,437
OV3133-R,SBS23,0.4246936407974108,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS20,0.4220695263574572,MMR-d / MSI,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS11,0.4210465344248998,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS7a,0.4068100782372099,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS9,0.40442615573278856,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS10c,0.39767746760782774,POLE proofreading,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS36,0.38793760014167816,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS38,0.3769400921789988,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS37,0.37169798628424533,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS84,0.3694293543274052,other,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS14,0.36639963190114905,MMR-d / MSI,COSMIC_v3.2,GRCh38,437
OV3133-R,SBS12,0.36625993507388116,other,COSMIC_v3.2,GRCh38,437
