our_line,depmap_ACH,spearman_hvg,spearman_allgenes,depmap_name,depmap_subtype,our_subtype,is_selfpair,our_line_has_depmap_namesake
OV1369-R2,ACH-001340,0.3359088053882729,0.8472862255016674,COV413A,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000947,0.33393890550925376,0.8430722584206356,OVK18,Endometrioid Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001279,0.3275408789915159,0.8045012954278121,SCCOHT1,Small Cell Carcinoma of the Ovary,HGS,FALSE,FALSE
OV1369-R2,ACH-000048,0.31875109148914965,0.8313059009762007,TOV112D,Endometrioid Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000103,0.31010126401476984,0.8441512646336488,CAOV4,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000116,0.30174376049064394,0.8472008628252096,OAW28,High-Grade Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000608,0.3016029803674306,0.8248829794590531,COV644,Mucinous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-001278,0.266563072589357,0.805225924981761,BIN67,Small Cell Carcinoma of the Ovary,HGS,FALSE,FALSE
OV1369-R2,ACH-000123,0.26219348804268866,0.8186319937053727,COV434,Small Cell Carcinoma of the Ovary,HGS,FALSE,FALSE
OV1369-R2,ACH-000701,0.25898719965222083,0.8421862508845147,RMUGS,Mucinous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000657,0.2587011116844176,0.8178595485237701,A2780,Endometrioid Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-000291,0.25731140313688555,0.8219804479379376,OV90,Serous Ovarian Cancer,HGS,FALSE,FALSE
OV1369-R2,ACH-002038,0.22540209835437258,0.800351360046424,HSKTC,"Ovarian Cancer, Other",HGS,FALSE,FALSE
OV1369-R2,ACH-000333,0.20246835349947157,0.8035138317022943,JHOM2B,Mucinous Ovarian Cancer,HGS,FALSE,FALSE
