"cell_line","substrate","reference","signature","bootstrap_count_correlation_with_sbs3"
"OV3291","baseline","genome_full","SBS10c",-0.0131434699168562
"OV3291","baseline","genome_full","SBS10d",-0.0447385180042951
"OV3291","baseline","genome_full","SBS11",0.115201980221294
"OV3291","baseline","genome_full","SBS12",-0.160030690075088
"OV3291","baseline","genome_full","SBS13",0.0208459799504123
"OV3291","baseline","genome_full","SBS14",-0.00404252777189857
"OV3291","baseline","genome_full","SBS15",0.166426432750071
"OV3291","baseline","genome_full","SBS16",
"OV3291","baseline","genome_full","SBS17a",0.0369115085570847
"OV3291","baseline","genome_full","SBS17b",-0.0496534532056032
"OV3291","baseline","genome_full","SBS18",-0.0927861654583155
"OV3291","baseline","genome_full","SBS19",-0.161711792912457
"OV3291","baseline","genome_full","SBS20",-0.0168089253616214
"OV3291","baseline","genome_full","SBS21",
"OV3291","baseline","genome_full","SBS22",
"OV3291","baseline","genome_full","SBS23",-0.0656812526047723
"OV3291","baseline","genome_full","SBS24",0.00367722039207683
"OV3291","baseline","genome_full","SBS25",-0.053797366350666
"OV3291","baseline","genome_full","SBS26",-0.0857094123856047
"OV3291","baseline","genome_full","SBS28",
"OV3291","baseline","genome_full","SBS29",0.000159741585683898
"OV3291","baseline","genome_full","SBS30",0.0635583754973604
"OV3291","baseline","genome_full","SBS31",0.00494506231784749
"OV3291","baseline","genome_full","SBS32",-0.0247975576113779
"OV3291","baseline","genome_full","SBS33",
"OV3291","baseline","genome_full","SBS34",
"OV3291","baseline","genome_full","SBS35",-0.0222658736817823
"OV3291","baseline","genome_full","SBS36",
"OV3291","baseline","genome_full","SBS37",-0.035076443596345
"OV3291","baseline","genome_full","SBS38",
"OV3291","baseline","genome_full","SBS39",-0.340802315193222
"OV3291","baseline","genome_full","SBS40",
"OV3291","baseline","genome_full","SBS41",0.12026281169605
"OV3291","baseline","genome_full","SBS42",-0.0489911713055076
"OV3291","baseline","genome_full","SBS44",0.127928098677463
"OV3291","baseline","genome_full","SBS84",0.00840578382170095
"OV3291","baseline","genome_full","SBS85",0.0807799235247638
"OV3291","baseline","genome_full","SBS86",0.0151986696698064
"OV3291","baseline","genome_full","SBS87",0.137050814828885
"OV3291","baseline","genome_full","SBS88",-0.0513665524322579
"OV3291","baseline","genome_full","SBS89",-0.168970629422849
"OV3291","baseline","genome_full","SBS90",
"OV3291","baseline","genome_full","SBS91",0.0233735278857834
"OV3291","baseline","genome_full","SBS92",
"OV3291","baseline","genome_full","SBS93",
"OV3291","baseline","genome_full","SBS94",
"TOV1369","baseline","genome_full","SBS1",0.121930207301975
"TOV1369","baseline","genome_full","SBS2",-0.0616666605711547
"TOV1369","baseline","genome_full","SBS3",1
"TOV1369","baseline","genome_full","SBS4",-0.21816354740659
"TOV1369","baseline","genome_full","SBS5",-0.0569944481177444
"TOV1369","baseline","genome_full","SBS6",-0.30407841558052
"TOV1369","baseline","genome_full","SBS7a",0.0430330462532916
"TOV1369","baseline","genome_full","SBS7b",-0.412730955377493
"TOV1369","baseline","genome_full","SBS7c",
"TOV1369","baseline","genome_full","SBS7d",
"TOV1369","baseline","genome_full","SBS8",-0.801436929368778
"TOV1369","baseline","genome_full","SBS9",
"TOV1369","baseline","genome_full","SBS10a",
"TOV1369","baseline","genome_full","SBS10b",0.0318451330815689
"TOV1369","baseline","genome_full","SBS10c",
"TOV1369","baseline","genome_full","SBS10d",
"TOV1369","baseline","genome_full","SBS11",-0.0288166066658846
"TOV1369","baseline","genome_full","SBS12",-0.584421565803948
"TOV1369","baseline","genome_full","SBS13",0.0641291416767406
"TOV1369","baseline","genome_full","SBS14",
"TOV1369","baseline","genome_full","SBS15",0.100906332206022
"TOV1369","baseline","genome_full","SBS16",-0.1319478201991
"TOV1369","baseline","genome_full","SBS17a",-0.0766026406868005
"TOV1369","baseline","genome_full","SBS17b",
"TOV1369","baseline","genome_full","SBS18",
"TOV1369","baseline","genome_full","SBS19",-0.063952434269453
"TOV1369","baseline","genome_full","SBS20",
"TOV1369","baseline","genome_full","SBS21",-0.00358133600521471
"TOV1369","baseline","genome_full","SBS22",
"TOV1369","baseline","genome_full","SBS23",
"TOV1369","baseline","genome_full","SBS24",0.0693827389810472
"TOV1369","baseline","genome_full","SBS25",
"TOV1369","baseline","genome_full","SBS26",
"TOV1369","baseline","genome_full","SBS28",-0.054594338678405
"TOV1369","baseline","genome_full","SBS29",0.0370801191341679
"TOV1369","baseline","genome_full","SBS30",-0.181158555109219
"TOV1369","baseline","genome_full","SBS31",
"TOV1369","baseline","genome_full","SBS32",0.0309257553100284
"TOV1369","baseline","genome_full","SBS33",-0.280023013298038
"TOV1369","baseline","genome_full","SBS34",
"TOV1369","baseline","genome_full","SBS35",
"TOV1369","baseline","genome_full","SBS36",
"TOV1369","baseline","genome_full","SBS37",-0.231706304508567
"TOV1369","baseline","genome_full","SBS38",
"TOV1369","baseline","genome_full","SBS39",-0.907037194023501
"TOV1369","baseline","genome_full","SBS40",0.00294274139048115
"TOV1369","baseline","genome_full","SBS41",
"TOV1369","baseline","genome_full","SBS42",
"TOV1369","baseline","genome_full","SBS44",0.00314334231746674
"TOV1369","baseline","genome_full","SBS84",0.0592332036424189
"TOV1369","baseline","genome_full","SBS85",
"TOV1369","baseline","genome_full","SBS86",0.0398273030336036
"TOV1369","baseline","genome_full","SBS87",0.307782934429844
"TOV1369","baseline","genome_full","SBS88",
"TOV1369","baseline","genome_full","SBS89",-0.0642788406817844
"TOV1369","baseline","genome_full","SBS90",
"TOV1369","baseline","genome_full","SBS91",-0.0224837923817491
"TOV1369","baseline","genome_full","SBS92",-0.0833144158023243
"TOV1369","baseline","genome_full","SBS93",-0.11971561713963
"TOV1369","baseline","genome_full","SBS94",0.00391646941278692
"TOV2295-R","baseline","genome_full","SBS1",0.155712895482073
"TOV2295-R","baseline","genome_full","SBS2",-0.054573632146349
"TOV2295-R","baseline","genome_full","SBS3",1
"TOV2295-R","baseline","genome_full","SBS4",-0.0708299724951628
