"cell_line","substrate","reference","replicate","sbs3_count","total_fitted","sbs3_fraction"
"OV1369-R2","baseline","genome_full",164,296.124777961204,596.988785534196,0.49603072140832
"OV1369-R2","baseline","genome_full",165,144.915508949139,590.716093457056,0.24532175533097
"OV1369-R2","baseline","genome_full",166,0,572.577572240365,0
"OV1369-R2","baseline","genome_full",167,0,603.404028774424,0
"OV1369-R2","baseline","genome_full",168,152.608003523782,589.391162775829,0.258924824737872
"OV1369-R2","baseline","genome_full",169,137.165106016058,585.540987696016,0.23425363706096
"OV1369-R2","baseline","genome_full",170,0,597.018636708926,0
"OV1369-R2","baseline","genome_full",171,161.04572743027,595.222544474525,0.270563890641012
"OV1369-R2","baseline","genome_full",172,293.21080859033,596.662612848786,0.491418101748299
"OV1369-R2","baseline","genome_full",173,229.801977152355,597.894409598085,0.38435210877257
"OV1369-R2","baseline","genome_full",174,129.777813184309,598.596508289455,0.216803491813144
"OV1369-R2","baseline","genome_full",175,215.388724582047,589.775584114435,0.365204546243566
"OV1369-R2","baseline","genome_full",176,0,578.260637068284,0
"OV1369-R2","baseline","genome_full",177,251.02183411609,590.494788022866,0.425104233276262
"OV1369-R2","baseline","genome_full",178,233.292794475797,583.228310906122,0.400002520648125
"OV1369-R2","baseline","genome_full",179,149.972280014396,582.236203004147,0.25757979191364
"OV1369-R2","baseline","genome_full",180,297.716318811339,600.922165587749,0.495432413480952
"OV1369-R2","baseline","genome_full",181,322.430540756285,595.286839006468,0.541638953910723
"OV1369-R2","baseline","genome_full",182,0,592.80300832634,0
"OV1369-R2","baseline","genome_full",183,286.659471226144,594.942218250046,0.481827415222472
"OV1369-R2","baseline","genome_full",184,320.672315636831,608.026045370714,0.52739897916925
"OV1369-R2","baseline","genome_full",185,0,591.370131997601,0
"OV1369-R2","baseline","genome_full",186,219.086565273614,585.093497491767,0.374447103262665
"OV1369-R2","baseline","genome_full",187,161.284559469023,592.20997705605,0.272343536444266
"OV1369-R2","baseline","genome_full",188,226.600159674679,585.321189677315,0.387138145126102
"OV1369-R2","baseline","genome_full",189,0,585.964472234258,0
"OV1369-R2","baseline","genome_full",190,229.332428919161,590.18144601334,0.38857953002131
"OV1369-R2","baseline","genome_full",191,355.644492770236,570.544167060208,0.623342614477567
"OV1369-R2","baseline","genome_full",192,274.175026516986,580.499162439928,0.472309082005538
"OV1369-R2","baseline","genome_full",193,248.941621404615,593.66339584794,0.419331262708302
"OV1369-R2","baseline","genome_full",194,111.952013298714,581.673218291961,0.192465476797183
"OV1369-R2","baseline","genome_full",195,182.204425280449,585.835544190463,0.311016337412965
"OV1369-R2","baseline","genome_full",196,314.574373587253,590.979903306067,0.532292844185491
"OV1369-R2","baseline","genome_full",197,262.106999138418,593.269571448215,0.441800846954943
"OV1369-R2","baseline","genome_full",198,248.579793660934,589.50729443215,0.421673821526468
"OV1369-R2","baseline","genome_full",199,0,594.034851361393,0
"OV1369-R2","baseline","genome_full",200,0,594.207760718874,0
"OV2085","baseline","genome_full",1,0,468.763380679327,0
"OV2085","baseline","genome_full",2,122.558992309391,473.861904774522,0.258638626727566
"OV2085","baseline","genome_full",3,0,466.267296666637,0
"OV2085","baseline","genome_full",4,116.448216159027,472.800843299522,0.246294434135043
"OV2085","baseline","genome_full",5,0,471.040211707393,0
"OV2085","baseline","genome_full",6,38.7222838446392,461.979467550073,0.0838181922889076
"OV2085","baseline","genome_full",7,0,459.804416850427,0
"OV2085","baseline","genome_full",8,39.6969866424525,471.396661092644,0.0842114293945982
"OV2085","baseline","genome_full",9,167.475431351071,472.098302093182,0.354746946999219
"OV2085","baseline","genome_full",10,0,473.31044205991,0
"OV2085","baseline","genome_full",11,48.9645335096125,463.819750445034,0.105568021764125
"OV2085","baseline","genome_full",12,0,464.814887640147,0
"OV2085","baseline","genome_full",13,164.142202808531,464.438158091095,0.353421009770555
"OV2085","baseline","genome_full",14,90.060432149558,459.291267381363,0.196085661856876
"OV2085","baseline","genome_full",15,145.814430947197,475.670121256062,0.306545280923168
"OV2085","baseline","genome_full",16,0,461.456208242668,0
"OV2085","baseline","genome_full",17,69.4599149598223,460.425454957072,0.15086028413937
"OV2085","baseline","genome_full",18,118.458321586213,468.768691198244,0.25270100970996
"OV2085","baseline","genome_full",19,79.7854823951207,466.898839922539,0.170883873706684
"OV2085","baseline","genome_full",20,0,447.491877000032,0
"OV2085","baseline","genome_full",21,0,472.187869883408,0
"OV2085","baseline","genome_full",22,0,476.618685721974,0
"OV2085","baseline","genome_full",23,0,458.588819021123,0
"OV2085","baseline","genome_full",24,0,469.028598410097,0
"OV2085","baseline","genome_full",25,95.6219760642192,462.05769118123,0.206948131995738
"OV2085","baseline","genome_full",26,0,477.584179220596,0
"OV2085","baseline","genome_full",27,119.304123813625,467.499752707309,0.255196121757777
"OV2085","baseline","genome_full",28,0,464.17634205401,0
