"cell_line","substrate","reference","signature","count","fraction"
"TOV2295-R","baseline","genome_full","SBS7b",0,0
"TOV2295-R","baseline","genome_full","SBS7c",0,0
"TOV2295-R","baseline","genome_full","SBS7d",0,0
"TOV2295-R","baseline","genome_full","SBS8",0,0
"TOV2295-R","baseline","genome_full","SBS9",0,0
"TOV2295-R","baseline","genome_full","SBS10a",0,0
"TOV2295-R","baseline","genome_full","SBS10b",0,0
"TOV2295-R","baseline","genome_full","SBS10c",0,0
"TOV2295-R","baseline","genome_full","SBS10d",0,0
"TOV2295-R","baseline","genome_full","SBS11",31.5935625838384,0.0778170137325031
"TOV2295-R","baseline","genome_full","SBS12",0,0
"TOV2295-R","baseline","genome_full","SBS13",0,0
"TOV2295-R","baseline","genome_full","SBS14",0,0
"TOV2295-R","baseline","genome_full","SBS15",0,0
"TOV2295-R","baseline","genome_full","SBS16",0,0
"TOV2295-R","baseline","genome_full","SBS17a",0,0
"TOV2295-R","baseline","genome_full","SBS17b",0,0
