"model","profile","center","autosomal_span_bp","fga"
"OV1369-R2","Archived",-0.2585,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2584,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2583,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2582,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2581,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.258,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2579,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2578,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2577,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2576,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2575,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2574,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2573,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2572,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2571,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.257,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2569,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2568,2741890670,0.583702953407694
"OV1369-R2","Archived",-0.2567,2741890670,0.583702953407694
